Year,BristolBay_sss_aprjun,BristolBay_sss_mayaug,ColumbiaRiver_sss_aprjun,ColumbiaRiver_sss_mayaug,FraserRiver_sss_aprjun,FraserRiver_sss_mayaug
1942,31.860639391846917,31.754307348336745,31.687347705547626,31.663412937751183,31.67007622352013,31.659312981825607
1943,31.837886487666648,31.796364698837053,31.70261666713617,31.676593780517578,31.68830495002942,31.675130220559925
1944,31.90612567123489,31.851069863162824,31.852294579530376,31.877579725705658,31.86572060218224,31.91327010668241
1945,31.763726837006374,31.691025378099127,31.772794919136242,31.736630549797646,31.771314718784428,31.746068734389084
1946,31.81921652419057,31.800881286165605,31.726567048292893,31.697099869067856,31.71676894945976,31.699563906742977
1947,31.799442300749064,31.625213018104212,31.70752554673415,31.67184352874756,31.69768910530286,31.676309989048885
1948,31.662761469978594,31.65985918045044,31.590856111966644,31.489496084359978,31.511771862323467,31.37126687856821
1949,31.92502981157445,31.749872029717288,31.572841595380737,31.40682686292208,31.16518113551996,30.918187654935398
1950,31.799004255835687,31.769863085960274,29.396761527428264,29.3107312642611,28.57316985497108,28.430167858417217
1951,31.88649098790107,31.827552033894097,30.57118450066982,31.14599763430082,29.70490431174254,30.481418682978706
1952,31.946179736312942,31.901311468722216,31.149291405310993,30.996105194091797,31.424077938764523,31.259617365323578
1953,31.989290768827374,32.001054557401744,29.92608803969163,29.99015914476835,30.719431314712917,30.859379805051365
1954,31.905662650492655,31.93339201229722,29.52363151159042,29.767270785111645,31.016977016742413,30.93460072003878
1955,31.926979178812967,31.849823389480363,29.83686931316669,30.424955954918495,29.93171315315442,30.367782409374534
1956,31.937069660395533,31.898451079183552,31.262492008698292,31.444308941180893,31.18714386377579,31.277675738701454
1957,32.06673907759178,31.953104716628346,31.69791451478616,31.50755651180561,31.481605725410656,31.266079425811768
1958,31.91176952532868,31.853616379979833,31.252065267318333,31.24535105778621,31.239288281171753,31.183831434983475
1959,31.86700814280344,31.749907365485804,30.810820457262867,31.076037260202263,30.237132243621044,30.60436017696674
1960,31.956037654212455,31.918342967531572,31.44062291658842,31.380825519561768,30.916862830137593,30.78190172635592
1961,31.832231806285346,31.808446236510772,30.695787576528698,30.73508721131545,29.969260631463467,30.38761025208693
1962,31.784339914274454,31.743948943579372,31.134997881375828,31.55695918890146,30.944579735780376,31.282698924724876
1963,31.529919382351547,31.64945122733045,31.00308604118152,30.637769185579742,30.79986899938339,30.231534004211426
1964,31.919626568087295,31.80659727552044,31.30961085588504,31.251984632932224,31.169077359713043,31.16207632651696
1965,31.95980820726992,31.792252405365904,30.715473761925335,31.310435331784767,30.937383602827023,31.420388881976788
1966,31.776048176324192,31.76825843640228,30.924831243661732,31.161316541525036,30.788562089968952,31.03158947137686
1967,32.028439061558664,31.952062863022533,31.19762053856483,31.538150493915264,30.827698145157253,31.03063891484187
1968,31.855206541754118,31.57690820409291,30.818872109437603,30.948778665982765,30.603919298220905,30.69878801932702
1969,31.91532210924139,31.719780758245665,31.180411803416717,31.12014209307157,30.822946010491787,30.736974972944992
1970,31.792112891353778,31.631097871865798,31.51751381311661,31.869858264923096,31.387765444242035,31.644130743466892
1971,31.83211903548359,31.681839409159192,31.070088068644207,31.281716126662033,30.634427095070862,31.123881303347076
1972,31.712395378606235,31.629547168959434,31.05542769798866,31.100106972914475,31.012239602895885,30.908748039832485
1973,31.798022673497744,31.752411885048026,31.15615820273375,31.321928134331333,30.859955616486378,31.152004205263577
1974,31.87966892375282,31.8275206551623,30.711013989570816,30.75749008472149,30.419038430238377,30.41066866654616
1975,32.067564807721034,31.967273043162788,31.221823912400467,31.668319115271935,31.317460524730194,31.727513973529526
1976,31.73502198024769,31.673317617444848,31.063293016873875,30.919629390423115,30.814335994231396,30.698712238898644
1977,31.51710204698553,31.35712027193895,30.99381295228616,31.461197669689472,30.797301854842747,31.193813140575703
1978,31.569575029819163,31.65110269945059,30.96793556213379,30.98116617936354,30.488869593693664,30.534987412966217
1979,32.01440251288722,31.791077236631025,31.8684943761581,31.875914536989654,31.20791288522574,31.440927212054913
1980,31.853036358581846,31.564261436462402,31.309946157993412,31.51674233950101,30.815583498050003,31.248855627500095
1981,31.658966377599913,31.603123373060082,31.23103283613156,31.413526388315056,30.371695983104217,30.675391637361965
1982,31.744084979764263,31.6152804075782,30.936844312227688,31.284005605257477,30.745715997157955,31.104123849135178
1983,32.02435906253644,31.75786072460573,31.183331514016174,31.06549640802237,31.101155207707333,31.104361093961273
1984,31.810423267421438,31.800353505718178,31.108064749302006,31.330282614781304,30.862293047782703,31.116254623119644
1985,31.804516654702564,31.674259449119,31.4130246089055,31.596015490018402,31.39497668926532,31.48620146971482
1986,31.843968196887875,31.78162238135267,31.39901239444048,31.513682548816384,30.861847853049255,31.161187905531662
1987,31.624501128694906,31.528236524382635,31.362868724725185,31.73060255784255,30.723151133610656,31.153977063985973
1988,31.672145947888126,31.481245154765116,30.778957807100735,31.21253666510949,30.07568256671612,30.691513795119064
1989,31.1946426885045,31.327630576802722,31.6598750383426,31.873448078448956,31.19352883559007,31.586970696082485
1990,31.769528052107017,31.69971599151839,31.626124015221233,31.445733143733097,31.214217210427307,31.113308869875397
1991,31.717834406231173,31.505268965194475,31.406128810002254,31.591700480534477,31.053592241727387,31.33638411301833
1992,31.68284272910351,31.42808303548329,31.38675420712202,31.504708106701194,31.034215829311275,31.19776131556584
1993,31.752056956884278,31.469033162985276,31.16568027398525,31.19323132588313,30.855734458336467,30.87614213503324
1994,31.76250418857555,31.59085414658731,31.183709511390102,31.33834582108718,30.824212783422226,31.066109657287598
1995,31.48872001609992,31.3801078725217,31.311440932445038,31.481676761920635,31.092770258585613,31.29348688859206
1996,31.616252424705092,31.49750472538507,30.728408275506435,30.786397053645207,30.509237142709583,30.57647264920748
1997,31.61872558214178,31.624789593824698,30.380794965303863,30.366996471698467,29.808664224086666,30.0048015667842
1998,31.58815804286976,31.431184370126296,31.184762954711914,31.30554951154269,30.864860192323345,31.00880479812622
1999,31.744854846403967,31.67090238030277,31.273133497971752,31.473274891193093,30.71456557053786,30.904890647301308
2000,31.443485506731477,31.341066794608956,31.353580181415264,31.51620068916908,30.802432280320385,30.912866775806133
2001,31.756793368515087,31.62734210313256,32.038942826099884,32.22466197380653,31.37571662511581,31.640999207129845
2002,32.04962070901596,31.835213461918617,31.211173717792217,31.420124604151802,31.148236788236176,31.301097136277416
2003,31.713996156531184,31.29076632456993,31.280684740115433,31.620565304389366,30.829438771957005,31.238058163569523
2004,31.671565316802827,31.535762359846885,31.46650925660745,31.74168744454017,30.93960145803598,31.250238491938667
2005,31.835914640284297,31.446986433285385,31.115910163292522,31.26567132656391,30.617892485398514,30.804288644057053
2006,31.910200156975744,31.60625827134545,31.143401952890247,31.380880172436058,30.72731497348883,31.061263744647686
2007,31.843650846338985,31.794008518332866,31.190038387592022,31.227580767411453,30.928069334763748,30.97275810975295
2008,31.73783272890309,31.23010551395701,30.920713669214493,31.377079633566048,30.98306993337778,31.332856985238884
2009,31.9639352257572,31.84560984995828,31.552410810421673,32.15547723036546,30.79203008994078,31.385337609511154
2010,31.990084007604796,31.857522871956895,30.414966876690205,30.774290084838867,30.382024667201893,30.413659059084377
2011,32.04759327333365,31.665613395064625,30.23740670619867,30.471963992485634,30.0996766212659,30.181835871476395
2012,31.900869293592464,31.830257821438916,29.558639477460815,29.95955118766198,29.40447802421374,29.68604370263907
2013,31.97078012115327,31.74731499401491,31.05965785491161,31.587151490725006,30.310094588842148,30.924574045034557
2014,31.941311907412402,31.639392269191454,30.725027671227092,31.108759256509636,30.721546808878582,30.860975962418777
2015,31.671173437317805,31.53939086287769,29.551189422607422,30.0048167522137,29.858920953212643,30.271572406475357
2016,31.844791953243426,31.77866458181125,29.71587616358048,29.721339225769043,29.914555671887523,30.16868587640616
2017,31.58565794531979,31.667139850445647,28.97217589158278,28.956254518949066,29.373973504090923,29.34804190122164
2018,31.63602338382854,31.545427187165217,28.977206548055012,29.360319137573246,30.05157998891977,30.463890955998345
2019,31.449316698520338,31.46749196123721,29.707113657242214,29.92383546095628,30.65749183067909,30.730670928955078
2020,31.79909641588505,31.716720097100556,29.994231346326,29.657725517566387,30.439003626505535,30.192767253288856
2021,31.84912658805278,31.832994930779755,31.000196505815552,31.033602421100323,31.214658932808117,31.22336013500507
2022,31.946102180291167,31.794433230784403,31.83601741301708,31.787852140573353,31.67661926073906,31.550317947681133
2023,32.04896000724526,31.93395661596042,31.843842726487377,31.835344754732574,31.649154565273182,31.606621522169846
2024,32.03482487427061,31.968085559446422,31.694993141369945,31.7484408892118,31.541367261837692,31.578256166898285
